No.,Time,Source,Destination,Protocol,Length,Info
198,5.041077,192.168.1.1,239.255.255.250,SSDP,311,NOTIFY * HTTP/1.1 
199,5.057177,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
200,5.107556,52.114.128.69,192.168.1.106,TLSv1.2,105,"Change Cipher Spec, Encrypted Handshake Message"
201,5.118112,192.168.1.106,52.115.97.218,UDP,158,50021  >  3480 Len=116
202,5.148121,192.168.1.106,52.114.128.69,TCP,54,51137  >  443 [ACK] Seq=316 Ack=6142 Win=132352 Len=0
203,5.286357,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50021
204,5.387105,52.115.97.218,192.168.1.106,UDP,125,3481  >  50058 Len=83
205,5.518365,52.114.16.94,192.168.1.106,TCP,1506,443  >  50508 [ACK] Seq=1 Ack=1 Win=2052 Len=1452 [TCP segment of a reassembled PDU]
206,5.518982,52.114.16.94,192.168.1.106,TLSv1.2,1073,Application Data
207,5.519082,192.168.1.106,52.114.16.94,TCP,54,50508  >  443 [ACK] Seq=1 Ack=2472 Win=517 Len=0
208,5.520275,192.168.1.106,52.114.16.94,TLSv1.2,450,Application Data
209,5.526568,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
210,5.543742,192.168.1.106,52.115.97.218,UDP,177,50058  >  3481 Len=135
211,5.723688,52.114.16.94,192.168.1.106,TCP,54,443  >  50508 [ACK] Seq=2472 Ack=397 Win=2050 Len=0
212,5.766139,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
213,5.806963,Cisco-Li_1d:7c:e2,Broadcast,ARP,42,Who has 192.168.1.105? Tell 192.168.1.1
214,5.875113,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
215,5.924236,52.115.97.218,192.168.1.106,UDP,117,3479  >  50013 Len=75
216,5.998433,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
217,6.036455,192.168.1.106,52.115.97.218,UDP,237,50013  >  3479 Len=195
218,6.047794,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
219,6.064268,192.168.1.106,52.115.97.218,UDP,158,50013  >  3479 Len=116
220,6.064485,192.168.1.106,52.115.97.218,UDP,158,50058  >  3481 Len=116
221,6.064622,192.168.1.106,52.115.97.218,UDP,158,50047  >  3481 Len=116
222,6.124193,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50058
223,6.136089,52.115.97.218,192.168.1.106,UDP,117,3479  >  50013 Len=75
224,6.230919,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50047
225,6.235857,192.168.1.106,52.115.97.218,UDP,101,50058  >  3481 Len=59
226,6.242912,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50013
227,6.349051,52.115.97.218,192.168.1.106,UDP,117,3479  >  50013 Len=75
228,6.381635,192.168.1.106,52.115.97.218,UDP,158,50021  >  3480 Len=116
229,6.426469,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
230,6.454083,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
231,6.464703,52.111.244.0,192.168.1.106,TLSv1.2,105,Application Data
232,6.505106,192.168.1.106,52.111.244.0,TCP,54,50584  >  443 [ACK] Seq=1 Ack=52 Win=516 Len=0
233,6.54992,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50021
234,6.55877,52.115.97.218,192.168.1.106,UDP,117,3479  >  50013 Len=75
235,6.645658,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
236,6.685499,192.168.1.106,52.115.97.218,UDP,141,50021  >  3480 Len=99
237,6.728896,Cisco-Li_1d:7c:e2,Broadcast,ARP,42,Who has 192.168.1.105? Tell 192.168.1.1
238,6.767884,52.115.97.218,192.168.1.106,UDP,117,3479  >  50013 Len=75
239,6.777397,192.168.1.106,52.115.97.218,UDP,93,50047  >  3481 Len=51
240,6.777611,192.168.1.106,52.115.97.218,UDP,1269,50047  >  3481 Len=1227
241,6.777757,192.168.1.106,52.115.97.218,UDP,1269,50047  >  3481 Len=1227
242,6.859945,52.114.16.94,192.168.1.106,TCP,1506,443  >  50508 [ACK] Seq=2472 Ack=397 Win=2050 Len=1452 [TCP segment of a reassembled PDU]
243,6.860578,52.114.16.94,192.168.1.106,TLSv1.2,1061,Application Data
244,6.860712,192.168.1.106,52.114.16.94,TCP,54,50508  >  443 [ACK] Seq=397 Ack=4931 Win=517 Len=0
245,6.862107,192.168.1.106,52.114.16.94,TLSv1.2,450,Application Data
246,6.922641,Cisco-Li_1d:7c:e2,IntelCor_f1:3d:f3,ARP,42,Who has 192.168.1.106? Tell 192.168.1.1
247,6.922652,IntelCor_f1:3d:f3,Cisco-Li_1d:7c:e2,ARP,42,192.168.1.106 is at a0:a4:c5:f1:3d:f3
248,7.067915,52.114.16.94,192.168.1.106,TCP,54,443  >  50508 [ACK] Seq=4931 Ack=793 Win=2049 Len=0
249,7.086377,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
250,7.116071,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
251,7.227036,192.168.1.106,52.115.97.218,UDP,158,50058  >  3481 Len=116
252,7.331325,192.168.1.106,52.115.97.218,UDP,158,50013  >  3479 Len=116
253,7.331483,192.168.1.106,52.115.97.218,UDP,158,50047  >  3481 Len=116
254,7.385363,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50058
255,7.448107,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
256,7.49332,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50047
257,7.504741,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50013
258,7.504921,52.115.97.218,192.168.1.106,UDP,81,3479  >  50013 Len=39
259,7.504921,52.115.97.218,192.168.1.106,UDP,1257,3479  >  50013 Len=1215
260,7.649399,192.168.1.106,52.115.97.218,UDP,158,50021  >  3480 Len=116
